,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,b,2.0273684210526315,1.0,u,g,w,v,1.1754385964912282,t,t,1.0597014925373134,f,g,1.404,1.0,5.0,3.0,1.0,4.6923076923076925,4.5,5.0,5.0,1.0,1.0
1,a,3.701954887218045,1.637142857142857,u,g,q,h,1.4266666666666667,t,t,1.3582089552238805,f,g,1.086,1.0224,1.0,3.0,1.0,4.076923076923077,2.5,5.0,5.0,1.0,1.0
2,a,1.6466165413533833,1.0714285714285714,u,g,q,h,1.2105263157894737,t,f,1.0,f,g,1.56,1.03296,1.0,3.0,1.0,4.076923076923077,2.5,5.0,1.0,1.0,1.0
3,b,1.8469172932330826,1.22,u,g,w,v,1.526315789473684,t,t,1.2985074626865671,t,g,1.2,1.00012,5.0,3.0,1.0,4.6923076923076925,4.5,5.0,5.0,5.0,1.0
4,b,1.3861654135338348,1.8035714285714284,u,g,w,v,1.24,t,f,1.0,f,s,1.24,1.0,5.0,3.0,1.0,4.6923076923076925,4.5,5.0,1.0,1.0,5.0
5,b,2.1025563909774436,1.5714285714285714,u,g,m,v,1.3508771929824561,t,f,1.0,t,g,1.72,1.0,5.0,3.0,1.0,3.769230769230769,4.5,5.0,1.0,5.0,1.0
6,b,2.16812030075188,1.1485714285714286,u,g,r,h,1.912280701754386,t,f,1.0,t,g,1.328,2.2514000000000003,5.0,3.0,1.0,4.384615384615385,2.5,5.0,1.0,5.0,1.0
7,a,1.5515789473684212,2.6550000000000002,u,g,cc,v,1.0056140350877194,t,f,1.0,f,g,1.16,1.05396,1.0,3.0,1.0,1.6153846153846154,4.5,5.0,1.0,1.0,1.0
8,b,3.4463157894736844,1.0714285714285714,y,p,k,h,1.5557894736842104,t,f,1.0,f,g,1.3599999999999999,1.01256,5.0,5.0,5.0,3.4615384615384617,2.5,5.0,1.0,1.0,1.0
9,b,2.729323308270677,1.702142857142857,y,p,w,v,1.4442105263157894,t,f,1.0,t,g,1.104,1.05768,5.0,5.0,5.0,4.6923076923076925,4.5,5.0,1.0,5.0,1.0
10,b,1.5010526315789474,1.1185714285714285,u,g,c,h,1.303859649122807,f,f,1.0,t,g,1.256,1.0,5.0,3.0,1.0,1.3076923076923077,2.5,1.0,1.0,5.0,1.0
11,b,1.9726315789473685,1.262142857142857,u,g,c,h,1.608421052631579,t,f,1.0,f,g,1.52,1.008,5.0,3.0,1.0,1.3076923076923077,2.5,5.0,1.0,1.0,1.0
12,a,2.473684210526316,1.8571428571428572,u,g,k,v,1.1403508771929824,t,f,1.0,t,g,1.0,1.0,1.0,3.0,1.0,3.4615384615384617,4.5,5.0,1.0,5.0,1.0
13,b,3.0649624060150376,1.8628571428571428,u,g,k,v,1.0056140350877194,f,f,1.0,f,g,1.0,1.1076,5.0,3.0,1.0,3.4615384615384617,4.5,1.0,1.0,1.0,1.0
14,a,2.929624060150376,2.5,u,g,q,v,1.7017543859649122,t,t,1.417910447761194,t,g,1.0,1.0,1.0,3.0,1.0,4.076923076923077,4.5,5.0,5.0,5.0,1.0
15,b,2.3786466165413533,1.6307142857142858,y,p,k,v,1.0350877192982457,t,t,1.5970149253731343,t,g,1.6400000000000001,1.0,5.0,5.0,5.0,3.4615384615384617,4.5,5.0,5.0,5.0,1.0
16,b,1.8721804511278197,1.125,u,g,m,v,1.134736842105263,t,t,1.1791044776119404,t,g,1.792,1.0,5.0,3.0,1.0,3.769230769230769,4.5,5.0,5.0,5.0,1.0
17,a,1.5714285714285716,1.8392857142857142,u,g,q,v,1.4449122807017543,t,t,1.5970149253731343,f,g,1.24,1.0098,1.0,3.0,1.0,4.076923076923077,4.5,5.0,5.0,1.0,1.0
18,b,1.486015037593985,1.0357142857142858,u,g,d,h,1.0933333333333333,t,f,1.0,t,g,1.0,1.0,5.0,3.0,1.0,1.9230769230769231,2.5,5.0,1.0,5.0,1.0
19,a,1.3260150375939852,2.2264285714285714,u,g,cc,h,1.1052631578947367,t,t,1.417910447761194,f,g,1.192,1.0,1.0,3.0,1.0,1.6153846153846154,2.5,5.0,5.0,1.0,1.0
20,b,1.6766917293233083,2.6071428571428568,u,g,c,v,1.3508771929824561,t,t,2.0149253731343286,f,g,1.4,1.04832,5.0,3.0,1.0,1.3076923076923077,4.5,5.0,5.0,1.0,1.0
21,b,1.5714285714285716,1.1428571428571428,u,g,c,v,1.1171929824561404,t,f,1.0,f,s,1.6,1.0,5.0,3.0,1.0,1.3076923076923077,4.5,5.0,1.0,1.0,5.0
22,a,3.045112781954887,2.142857142857143,u,g,c,v,2.1052631578947367,t,t,1.3582089552238805,t,g,1.0,1.0504,1.0,3.0,1.0,1.3076923076923077,4.5,5.0,5.0,5.0,1.0
23,a,1.8222556390977442,3.071428571428571,u,g,x,h,1.4329824561403508,t,t,1.0597014925373134,f,g,1.24,1.00044,1.0,3.0,1.0,5.0,2.5,5.0,5.0,1.0,1.0
24,a,2.649323308270677,1.9285714285714284,u,g,q,v,1.0701754385964912,t,t,1.1791044776119404,t,g,1.29,1.0,1.0,3.0,1.0,4.076923076923077,4.5,5.0,5.0,5.0,1.0
25,a,1.1251127819548872,1.0835714285714286,u,g,c,h,1.2105263157894737,t,t,1.1194029850746268,f,g,1.2,1.0,1.0,3.0,1.0,1.3076923076923077,2.5,5.0,5.0,1.0,1.0
26,a,3.0,2.8571428571428568,u,g,i,bb,1.7249122807017545,t,t,1.537313432835821,t,g,1.0,1.0,1.0,3.0,1.0,2.8461538461538463,1.0,5.0,5.0,5.0,1.0
27,b,3.576240601503759,3.642857142857143,u,g,d,bb,3.1052631578947367,t,t,2.0149253731343286,t,g,1.0,1.0,5.0,3.0,1.0,1.9230769230769231,1.0,5.0,5.0,5.0,1.0
28,b,3.6267669172932333,2.2142857142857144,u,g,e,h,1.9824561403508771,t,t,1.1791044776119404,f,g,1.0,1.0,5.0,3.0,1.0,2.230769230769231,2.5,5.0,5.0,1.0,1.0
29,b,2.70406015037594,1.1485714285714286,u,g,w,v,1.7017543859649122,t,t,1.3582089552238805,t,g,2.0,1.4,5.0,3.0,1.0,4.6923076923076925,4.5,5.0,5.0,5.0,1.0
30,b,1.9323308270676693,3.1128571428571425,u,g,aa,v,1.7073684210526316,t,t,1.2985074626865671,t,g,1.336,1.0,5.0,3.0,1.0,1.0,4.5,5.0,5.0,5.0,1.0
31,b,2.699248120300752,2.3985714285714286,u,g,x,h,2.11719298245614,t,t,1.4776119402985075,f,g,1.0,1.0,5.0,3.0,1.0,5.0,2.5,5.0,5.0,1.0,1.0
32,b,3.150375939849624,2.083571428571428,u,g,i,bb,2.0645614035087716,t,t,1.8955223880597014,t,g,1.0,1.2,5.0,3.0,1.0,2.8461538461538463,1.0,5.0,5.0,5.0,1.0
33,a,2.3834586466165413,1.7321428571428572,u,g,e,v,1.7017543859649122,t,f,1.0,t,g,1.0,1.16,1.0,3.0,1.0,2.230769230769231,4.5,5.0,1.0,5.0,1.0
34,a,1.531127819548872,2.5357142857142856,u,g,q,v,1.0582456140350878,t,t,1.2985074626865671,t,g,1.0,1.0224,1.0,3.0,1.0,4.076923076923077,4.5,5.0,5.0,5.0,1.0
35,b,1.8469172932330826,1.2142857142857142,u,g,w,v,1.280701754385965,t,t,1.6567164179104479,t,g,1.8679999999999999,1.0014,5.0,3.0,1.0,4.6923076923076925,4.5,5.0,5.0,5.0,1.0
36,b,1.81203007518797,1.2264285714285714,u,g,cc,h,1.2575438596491229,t,t,1.716417910447761,t,g,2.166,1.02852,5.0,3.0,1.0,1.6153846153846154,2.5,5.0,5.0,5.0,1.0
37,a,1.556390977443609,2.6785714285714284,u,g,x,h,1.0701754385964912,t,t,1.1194029850746268,t,g,1.6,1.02204,1.0,3.0,1.0,5.0,2.5,5.0,5.0,5.0,1.0
38,b,1.8421052631578947,1.0835714285714286,y,p,cc,v,1.0350877192982457,t,t,1.1194029850746268,f,g,1.52,1.02,5.0,5.0,5.0,1.6153846153846154,4.5,5.0,5.0,1.0,1.0
39,b,3.45593984962406,2.3449999999999998,u,g,ff,ff,3.023157894736842,t,t,1.6567164179104479,t,g,1.06,1.012,5.0,3.0,1.0,2.5384615384615383,2.0,5.0,5.0,5.0,1.0
