,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,ENCODED_JOB,ENCODED_MARITAL,ENCODED_EDUCATION,ENCODED_DEFAULT,ENCODED_HOUSING,ENCODED_CONTACT,ENCODED_POUTCOME,ENCODED_MONTHS,ENCODED_LOAN,ENCODED_Y,SCALLED_AGE,SCALED_BALANCE,SCALLED_DAY,SCALED_DURATION,SCALED_CAMPAIGN,SCALED_PDAYS,SCALLED_PREVIOUS
0,47,management,married,tertiary,no,0.0,yes,yes,cellular,27,aug,112.0,9.0,-1.0,0,unknown,no,5,1,3,0,1,0,2,8,1,0,4.658536585365855,-0.4274366765482377,12.866666666666667,-0.5534745019938916,2.097842269066753,-0.4187180770561017,-1.0
1,42,management,married,tertiary,no,0.0,no,no,cellular,26,aug,179.0,16.0,-1.0,0,unknown,no,5,1,3,0,0,0,2,8,0,0,3.6829268292682933,-0.4274366765482377,12.333333333333334,-0.30580167897761,4.452537265439598,-0.4187180770561017,-1.0
2,25,student,single,secondary,no,154.0,no,no,cellular,2,sep,382.0,1.0,183.0,3,success,yes,9,2,2,0,0,0,1,9,0,1,0.3658536585365857,-0.3780067285952735,-0.46666666666666656,0.44461000866873557,-0.5932377267879271,1.4184113144013433,0.29729729729729737
3,49,housemaid,divorced,secondary,no,267.0,no,no,telephone,9,feb,23.0,5.0,-1.0,0,unknown,no,4,0,2,0,0,1,2,2,0,0,5.048780487804878,-0.341736701850566,3.2666666666666666,-0.8824727295826835,0.7523022711394131,-0.4187180770561017,-1.0
4,25,bluecollar,single,primary,no,0.0,yes,no,unknown,23,may,250.0,1.0,-1.0,0,unknown,no,2,2,1,0,1,2,2,5,0,0,0.3658536585365857,-0.4274366765482377,10.733333333333333,-0.0433424187663266,-0.5932377267879271,-0.4187180770561017,-1.0
5,30,bluecollar,single,secondary,no,1224.0,yes,no,cellular,17,apr,196.0,2.0,-1.0,0,unknown,no,2,2,2,0,1,0,2,4,0,0,1.3414634146341466,-0.03456488242857419,7.533333333333333,-0.24295932089885203,-0.256852727306092,-0.4187180770561017,-1.0
6,44,management,married,tertiary,no,6203.0,yes,yes,cellular,17,nov,58.0,1.0,188.0,1,failure,no,5,1,3,0,1,0,0,11,1,0,4.073170731707318,1.5635631101545997,7.533333333333333,-0.7530914041264171,-0.5932377267879271,1.468333308734426,-0.5675675675675675
7,33,technician,married,secondary,no,0.0,yes,yes,unknown,27,may,130.0,1.0,-1.0,0,unknown,no,10,1,2,0,1,2,2,5,1,0,1.9268292682926838,-0.4274366765482377,12.866666666666667,-0.4869355346163831,-0.5932377267879271,-0.4187180770561017,-1.0
9,34,bluecollar,married,secondary,yes,0.0,yes,yes,cellular,11,jul,131.0,2.0,-1.0,0,unknown,no,2,1,2,1,1,0,2,7,1,0,2.121951219512196,-0.4274366765482377,4.333333333333333,-0.48323892531763263,-0.256852727306092,-0.4187180770561017,-1.0
10,37,management,married,secondary,no,209.0,no,no,cellular,14,oct,183.0,3.0,528.0,7,unknown,no,5,1,2,0,0,0,2,10,0,0,2.7073170731707323,-0.36035317575492914,5.933333333333334,-0.2910152417826081,0.07953227217574302,4.863028923384053,2.027027027027027
